feature,fold_1,fold_2,fold_3,fold_4,fold_5
item_id,82024,105567,78590,77588,88800
dept_id,4336,5834,4412,4425,5064
cat_id,1317,1736,1259,1245,1304
store_id,41339,52798,38699,38991,44766
state_id,8124,10791,7796,7749,9001
year,24141,31189,23585,23162,26972
month,6777,8823,6494,6633,7738
week,32688,42297,31975,31791,35649
day,57887,76101,55598,56765,65515
weekday,29180,39779,28739,28162,34091
event_name_1,2845,3610,2765,2908,3214
event_type_1,1496,2129,1456,1535,1658
snap_CA,4030,4963,3808,3863,4363
snap_TX,7567,10300,7268,7194,8760
snap_WI,8478,10789,7949,8138,9189
sell_price,62470,85604,58450,60509,69385
lag_t28,53344,66474,49146,49863,55747
lag_t29,51150,65367,49051,48396,55600
lag_t30,54043,67215,49663,51541,56873
rolling_mean_t7,77737,97002,73582,74271,83012
rolling_std_t7,98868,126597,94430,92605,107594
rolling_mean_t30,83416,114150,80898,80538,94800
rolling_mean_t90,72669,96295,70880,69911,79035
rolling_mean_t180,72634,98660,71282,69231,81066
rolling_std_t30,68851,92343,67922,66697,77108
price_change_t1,437,586,441,518,479
price_change_t365,23126,30388,22476,23182,25042
rolling_price_std_t7,4179,5542,3936,4095,4994
rolling_price_std_t30,16584,22727,15198,16242,18892
---,---,---,---,---,---
item_id,58994,60413,59201,59195,59678
dept_id,3566,3526,3488,3315,3627
cat_id,975,1036,1058,962,995
store_id,30748,31772,31756,30973,31043
state_id,6590,6824,6563,6440,6436
year,19098,18839,19023,18974,19340
month,5093,5248,5188,5200,5324
week,25819,25128,25438,25613,25586
day,45746,45794,45431,46117,46825
weekday,23917,24236,24290,23720,23679
event_name_1,2226,2131,2210,2068,2238
event_type_1,1193,1199,1092,1221,1295
snap_CA,2886,2812,2843,2855,2784
snap_TX,5804,5977,5777,5715,5837
snap_WI,5944,6151,6081,6146,6411
sell_price,47801,49140,49125,49080,49798
lag_t28,41452,41981,41021,41203,41488
lag_t29,40896,40964,41114,40574,42076
lag_t30,40809,41318,40632,40937,41461
rolling_mean_t7,58647,60335,59410,58766,59500
rolling_std_t7,71030,73473,71961,71710,72515
rolling_mean_t30,66578,67957,66871,66854,67083
rolling_mean_t90,54610,55983,54956,54510,55181
rolling_mean_t180,54955,55394,54751,54738,54944
rolling_std_t30,50742,53627,52376,51718,51680
price_change_t1,442,442,330,422,351
price_change_t365,18422,18695,18495,18669,18978
rolling_price_std_t7,3475,3419,3308,3527,3484
rolling_price_std_t30,11919,12939,12729,13249,13022
---,---,---,---,---,---
item_id,61698,60263,59893,59509,60979
dept_id,3579,3689,3504,3599,3533
cat_id,1043,1023,1022,1109,1050
store_id,32790,31564,32396,31809,32728
state_id,6738,6562,6839,6801,6632
year,19654,19801,19477,19850,19847
month,6444,6760,6716,6861,6898
week,30499,30653,30751,30773,30610
day,46217,46246,46340,46434,46149
weekday,23126,23647,23814,23166,23478
event_name_1,3386,3002,2939,2988,2959
event_type_1,1429,1407,1409,1439,1531
snap_CA,2808,2808,2894,2820,2845
snap_TX,5745,5813,5707,5742,5621
snap_WI,5951,6044,6058,6011,6024
sell_price,50072,49847,48910,50394,49804
lag_t28,42473,41804,41661,42201,42917
lag_t29,40945,42418,41615,41428,41229
lag_t30,41845,42378,41204,42685,42377
rolling_mean_t7,60666,60906,60281,60382,61032
rolling_std_t7,71609,72484,70496,71129,71829
rolling_mean_t30,67876,68226,67124,67355,67974
rolling_mean_t90,52787,53529,51008,52801,52457
rolling_mean_t180,53586,52645,52287,53825,53314
rolling_std_t30,49685,50046,48453,50014,49391
price_change_t1,474,391,458,369,362
price_change_t365,18622,18536,18267,18442,18321
rolling_price_std_t7,3750,3788,3691,3864,3738
rolling_price_std_t30,13303,12520,13351,12953,13171
---,---,---,---,---,---
item_id,51581,52803,52747,52120,51712
dept_id,2417,2397,2446,2346,2469
cat_id,750,668,752,685,707
store_id,25240,25443,25172,25370,25249
state_id,5000,5194,5031,5068,5217
year,15075,14971,15213,15112,14968
month,5103,5065,4997,5045,5003
week,22447,22041,22464,22908,22010
day,37716,37534,37678,37999,37920
weekday,18858,18856,18445,18568,18622
event_name_1,2620,2624,2684,2695,2693
event_type_1,1020,896,932,997,1000
snap_CA,1943,1884,1879,1855,1818
snap_TX,4092,4113,4069,4080,4105
snap_WI,4711,4772,4530,4656,4647
sell_price,37862,38452,39122,38786,38452
lag_t28,30301,29949,30153,31091,30526
lag_t29,30210,29735,29268,30190,29995
lag_t30,30784,31059,30179,30267,30847
rolling_mean_t7,46449,46693,46050,46641,46603
rolling_std_t7,52400,52500,52849,52799,52619
rolling_mean_t30,49365,50022,48871,49149,49464
rolling_mean_t90,35344,35959,35316,35388,35800
rolling_mean_t180,40180,41087,40337,41232,41097
rolling_std_t30,34814,35266,34354,34679,35497
price_change_t1,325,347,306,297,390
price_change_t365,14508,14618,14812,14833,14498
rolling_price_std_t7,3357,3472,3477,3318,3145
rolling_price_std_t30,10047,10611,9708,9810,9971
lag_t24,32974,33180,32659,33633,34159
lag_t25,32967,33352,33421,33575,33860
lag_t26,32350,32037,31590,32290,32736
lag_t27,33346,32963,31697,33155,32952
rolling_mean_t60,36697,36439,35497,36016,35991
rolling_std_t60,31853,31798,31907,32147,32058
